,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
169,7b054f04ff8194f7a97cbbd55455ceef,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Genus_Brevundimonas,Other Proteobacteria
170,7bc6304a3b13c6ca73dfca4497a00dc5,lost,lost,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimisporaalgidixylanolytica,Other Firmicutes
171,7d9129377c3a607464a2c567af730c35,lost,lost,Bacteria,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,Other Firmicutes
172,7e350e713938e4db19d55b3ffd310d38,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Undibacterium,Genus_Undibacterium_570144,Other Proteobacteria
173,7f1487c191bfa6ccc9085821aadf4324,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Genus_Stenotrophomonas_A_615274,Stenotrophomonas
174,802ee9764e76d0872a9892cdfeb43ef6,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Genus_Erwinia_B_680885,Other Proteobacteria
175,809456fddfcd13b876829092e0446769,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_A_615274rhizophila,Stenotrophomonas
176,80a305cdd00e92a1ec31e49726e5c579,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,Family_Burkholderiaceae_A_574934,Family_Burkholderiaceae
177,8114950780beaf8e8023491a1630a176,lost,lost,Bacteria,Firmicutes,Negativicutes,Sporomusales,Thermosinaceae,Anaerospora,Anaerosporahongkongensis,Other Firmicutes
178,8253a32e37cc65a796a92ee67b50d870,late water,shared,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Lawsonella,Genus_Lawsonella,Other Actinobacteriota
179,8310deaf296c304dea209d19107677a0,late water,shared,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobactersp000708265,Pedobacter
180,84716245f53ab2236b84538a9cdd74ed,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Genus_Methylobacterium,Other Proteobacteria
181,84739a30798ceb9d9290e4412e67eb24,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulosimicrobium,Genus_Cellulosimicrobium,Other Actinobacteriota
182,847ef1a2b17a1c61035475b56d24122d,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Genus_Massilia,Other Proteobacteria
183,84ec1399e8ee3618cc0686f28b89dbcb,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Genus_Pantoea_A_680069,Other Proteobacteria
184,891019e319f5d8d088ed4f9379fd63ef,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Genus_Stenotrophomonas_A_615274,Stenotrophomonas
185,8bc54d575f88d09b2ba16b7f571812ae,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Genus_Corynebacterium,Other Actinobacteriota
186,8c2fb0cdbe0db119375869b5c4b20a53,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,Leucobacter
187,8c4cabe11dcdb4267580ca78c7e9cb1b,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pseudorhodoferax,Genus_Pseudorhodoferax,Other Proteobacteria
188,8c55d1108d3cefe1e0f6375e1376ce27,late water,shared,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Genus_Corynebacterium,Other Actinobacteriota
189,8c8598245ea67244fb156b6f31192a41,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Family_Moraxellaceae,Family_Moraxellaceae,Other Proteobacteria
